"id","teks","label"
"127","Kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya..","yes"
"128","Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan","no"
"129","Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat… Mubadzir banget deh hidup lo… Napa gak bunuh diri aja?","yes"
"130","Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa","no"
"131","Beda sama d foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya","yes"
"132","Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu","no"
"133","Lupa di edit ya tu muka melar","yes"
"134","Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang","no"
"135","Kereennnn.. dari bully.an netizen menjadikanmu mau belajar","no"
"136","Hiiihhh jiik lihat nih orang… auranya buruk bgt gak ada manis manisnya","yes"
"137","Semangat untuk belajar ya… saya uga gak bisa bahasa inggris","no"
"138","Yang penting ada niat.. dan keberanian","no"
"139","Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..","no"
"140","Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_","no"
"141","Setidaknya dia ngaku. bukan belagak pintar","no"
"142","Masih jauh kalo ngarep bisa ikutan kontes miss earth , makanya dari kecil les inggris biar lidahnya gak keseleo","yes"
"143","Cuma di postingan ini ya bund netizen sedikit yang menghujat","no"
"144","Happy birthday Mel sehat dan Sukses yah, Aamiin","no"
"145","Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu","no"
"146","Ya ampun ketiak dan lemaknya editan parah wkwk","yes"
"147","Ketiaknya habis di amplas mel, alus banget","yes"
"148","Udah diedit gitu, ketiak lu tetap hitam","yes"
"149","Selamat ulang tahun mel, udah yah jangan banyak tingkah","no"
"150","Mukanya kuning banget kaya kunyit","yes"
"151","Selamat ulang tahun meldi sukses dan sehat terus ya….","no"
"152","Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan","no"
"153","HBD meldi… Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin","no"
"154","Perasaan kemarin lengannya kekar banget kek petinju, udah gitu ketiaknya juga hitam. Kok difoto ini lengannya jadi kecil, ketiaknya putih kek dibedakin","yes"
"155","Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin","no"
"156","Hbd cantik semoga kedepannya tambah sukses","no"
"157","Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu","no"
"158","berdiri di kaki sendiri lebih baik","no"
"159","Biar di edit2 kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin","yes"
"160","Sumpah demi apapun.. Lengan nya gede banget","yes"
"161","Selamat ulang tahun panjang umur sampai ketemu dajjal","yes"
"162","Ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu, dasar Dugong @rosameldianti_","yes"
"163","Di atm tinggal 150 ribu aja banyak gaya lu dugong","yes"
"164","Gak ada bagus2nya suara dan polanya….","yes"
"165","Si Meldi jelek aja banyak gaya. Beda banget sm tante n sepupunya yang udah jelas2 cantik","yes"
"166","Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat","no"
"167","Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok","yes"
"168","Aduh dugong masih aja gila filter….","yes"
"169","Sekarang bukan muka aja yang didempul, tapi ketiak juga","yes"
"170","Kasian kebelet artis tapi gak punya bakat","yes"
"171","Yang merasa peliharaannya lepas, tolong diangkut","yes"
"172","Miris banget… ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel","no"
"173","Mudah mudahan lu jadi gembel. Amin ya Allah","yes"
"174","Ketiaknya hitam dikasih bedak jadi nya abu monyet","yes"
"175","Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja","no"
"176","Gua berharap lu aja si yg sakit bukan laura lol","yes"
"177","Harusnya lo aja yang menderitaaa bukan lora anj!!!!!!!!!","yes"
"178","GAGA SEMPET BENERAN LORA LO TINGGALIN, LO ORANG PALING JAHAT GA!!!! LO GAK BAKAL BAHAGIA GA","yes"
"179","Lu bener' ga.kalo sempet nyakitin lora gue santet!!!!!","yes"
"180","Si gaga kok kek anjing","yes"
"181","Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.","no"
"182","Gak ada cantiknya. Gila yang ada","yes"
"183","meldi makin bersinar yaaa, pertahanin karir jgn di sia siain","no"
"184","Tetap semangat…. sebaik apapun kamu akan dalah Dimata pembenci…..","no"
"185","Asli gak ada bebet bobo ni anak. kasihan sekali.","yes"
"186","kumat… lama semedinya segini keluarnya","yes"
"187","Tangannya hitam… beda ama muka","yes"
"188","Kok meldi di foto aku gendut beda","yes"
"189","Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih gitu lihatnya , kenapa yaa ??","yes"
"190","Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..","no"
"191","Gila ni siluman,, di story orang lain keliatan banget tumpukan2 lemaknya, buriknya apalagi","yes"
"192","Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget","yes"
"193","Lo kira lo bagus tuh begitu anjing wkwkw","yes"
"194","Di maafin aaa… semoga dia jera untuk kedepannya…","no"
"195","Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha","yes"
"196","Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya","no"
"197","Okay bro kalem aja, tetap semangat dan jangan putus asa","no"
"198","Lu Mati ajalah . Udah biar gak bikin ribet","yes"
"199","SAMPAH MASYARAKAT HARUS DI MUSNAHKAN SEGERA","yes"
"200","MATI KAU NAJIS KONTOL BANGSAT MATI KAU","yes"
"201","youtuber toxic, tutup akunmu sekalian tutup usia","yes"
"202","Pada ribet kayak udah pada benar aja lu semua","no"
"203","Jangan ada hitam diatas putih. Langsung proses","no"
"204","Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian","no"
"205","Manusia apa hewan sih kok gak punya hati banget","yes"
"206","Manusia anjing. Nyari uang gitu amat. Lo kerja aja sama gue nyebokin gue ntar gue gaji lo.","yes"
"207","maklum anak kurang pendidikan kayak gitu gak punya akhlak","yes"
"208","Anjing memang anak gak tau diri. ibunya sampai nangis2","yes"
"209","oi babi gue bunuh lu kalau sampai kelihatan sumpah","yes"
"210","Heee sampah lu udah gua maafin TAPI BOONG GOBLOK","yes"
"211","ANJING SINI LO BAKU HANTAM AYO","yes"
"212","Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang","no"
"213","Jangan patah semngat kak sukses terus","no"
"214","Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan","no"
"215","Sumpah sekarang aku respect banget sama kamu","no"
"216","Menurutku pribadi, dia tulus minta maafnya….","no"
"217","DIKASIH BIDADARI MAUNYA BONEKA SANTET","yes"
"218","Ilang respect gue.. padahal jane udh setia bgt sama lu, tapi lu nya main cewe pas udh keluar dri penjara.. lol","no"
"219","Hapus ajh ni poto ngk tau malu bgt lu bang","no"
"220","Intinya gasuka ajg selama ada listy . Ngrusak suasana","yes"
"221","Di foto ini ada 2 anjing dan 1 kontol","yes"
"222","kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih","no"
"223","Puny cewk baik di selingkuhin g ngotak","yes"
"224","Inget yg di potong itu masalah nya bukan hubungan nya, tapi kalo udah gini sembeleh aja orang nya :) udah terlanjur kecewa","yes"
"225","Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?","no"
"226","Tiap mau makan dibikin ama jess tpi malah ngehianatin gila sih","no"
"227","Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss","no"
"228","Ini anjing Kok mirip ya sama Erick","yes"
"229","Muka Pasan sok sok an mau sm lonte lo anjing","yes"
"230","Lu sama anjingnya, lebih baik anjingnya","yes"
"231","IH ADA BABI JGN MEGANG TUH ANJING HARGA DIRINYA LEBIH TINGGI DRIPADA LO","yes"
"232","Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo","no"
"233","Narkoboy kontol, Cuma bisa maen cewe sama nyakitin doang lu anjing, mati aja lu bego","yes"
"234","TETEP PENJARA AJA AJG NYUSAHIN LO KELUAR","yes"
"235","cewe cakep, setia kok disia sia in sahabat","no"
"236","loh kok ak liatnya anjing semua yaa","yes"
"237","Anjingnya ada dua kok guys, tapi kok lagi satu gue liat ada babi item","yes"
"238","Mantan Anjing, eh kebalik anjing mantan","yes"
"239","Bikin skandal karena kepengen tenar?","no"
"240","Wiii anjay kapan lagi liat babi megang 2 anjing","yes"
"241","Ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari","yes"
"242","Babi g pantes nyentuh anjingnya bidadari, nanti kotor.","yes"
"243","SESAMA ANJING FOTO DULU YA KAN","yes"
"244","potret seorjing memegang anjing kwkw","yes"
"245","HEH UDH NAPA HATE NYA CAPE GW BACA NYA","no"
"246","WADUH MALAH LEBIH GANTENG ANJINGNYA. EH EH BAHKAN LU GA PANTES DISEBUT ANJING. ANJING KAN SETIA PANTESNYA SIH BABI HAHAHAHA","yes"
"247","kalo lomba samaan sm babi, babi nya nmr 2","yes"
"248","Si anjing ketika berfoto dengan si anjing","yes"
"249","Kak jessica yg nungguin+setia sm kk loh pas ad masalah kmrn. Tapi kk ga ngehargain malah lbh milih yg d sono","no"
"250","erikontolim manusia babi anak lonte","yes"
"251","HARGAILAH HATI WANITA YANG UDH TULUS NEMENIN LO DARI 0!!!","no"
"252","Tapi bagus sih erick mutusin Jessica ya karna Erick kelakuan ny begituu coba liat Jessica","no"
"253","Anjing sekarang hebat ya, bisa pake kacamata","yes"
"254","Sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa","no"
"255","Kukira kehadiranmu akan menjadi sesuatu kebanggaan, ternyata tidak","no"
"256","Ada 3 Ajg Dan Yg Punya Tato Bener2 Ajg","yes"
"257","dasar orang tua gada akhlak,ngajarin anaknya yang ga bener","yes"
"258","Erik kenapa sih? Ada yang bisa jelasin gw ga update soalnya.. maap2","no"
"259","Eh jangan dekat dekat sama anjingnya ci Jessica gua lempar lu","yes"
"260","guys dr pd comment2 mending unfoll sm unsubscribe aja yaa","no"
"261","Babi lagi main ma anjing :)","yes"
"262","Dikasi BIDADARI MALAH PILIH BABI","yes"
"263","Postingan pertama jg dihujat dong gila netijen","no"
"264","BARU KALI INI LIHAT ANJING SAMA BABI BAIKAN…","yes"
"265","Dikasih bidadari malah milih setan","yes"
"266","Padahal gw g mau benci ama lu bro, tpi ada aja tingkah lu yang melenceng:(","no"
"267","SIKAP MU LEBIH NAJIS DARIPADA LUDAH ANJING!","yes"
"268","Njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru2","no"
"269","kesini cmn mo liat komen aja","no"
"270","Buset hate comment ampe postingan paling bawah","no"
"271","Foto di upload nya 20 maret yang comment 1 jam 2 jam 3 jam yg lalu","no"
"272","Pantes banyak utang buat bayar lonte","yes"
"273","2 3 tutup botol muka lu kek kontol wkwk","yes"
"274","astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener","no"
"275","Dah lah. Gw capek baca komen kalian","no"
"276","Keliatan bgt anjingnya ketakutan foto sama dakjal","yes"
"277","Astaga ngehujat sampe postingan paling bawah","no"
"278","Lebih najis elu daripada anjing!","yes"
"279","2 ekor anjing dan satu buaya makan jambut","yes"
"280","Kalo disuruh melihara anjing/eric gw pilih anjing aja meski Najis tapi lebih najisan erick kontol","yes"
"281","Ngapain si pada ngejudge? Mikir dulu lah dia putus juga sebelum kejadian itu tolol","no"
"282","Hargai wanitamu dia didekati banyak pria tetapi tetap memilihmu","no"
"283","Ternyata sipat anjing bukan hanya ada di anjing doang ya,di manusia sipat anjing juga ternyata ada","yes"
"284","Potret ketika anjing poto dengan setan","yes"
"285","BANTU BEDAINN WOYY MANA ANJING MANA BABI","yes"
"286","Udaah woii udahh lu gak kasihan apa…. Aku capek ngelike komenan kalian","no"
"287","3 anjing 1 anjing berwujud manusia, 2 anjing asli tak ada perwujudan aowkwkw","yes"
"288","Kasian gue sama anjingnya dipegang dajjal","yes"
"289","Kasian anjing nya di pegang babi","yes"
"290","Lo itu kontol gak guna ajg anak dakjal","yes"
"291","mukak lu lebih buruk daripada anjing lu","yes"
"292","dikasi yang bening malah milih yang dakian","yes"
"293","Mending masuk penjara lagi aja dah seumur hidup","yes"
"294","Kok lbih lucu anjingnya ya ktimbang orangnya","yes"
"295","Akhirnya jesica bisa lepas dari kambing hitam ini","yes"
"296","Maafin Aja Bro Semua Orang Pasti Ada Kesalahan Dia Juga Pasti Ada Kesalahan Nasehatin Aja Siapa Tau Dia Berubah","no"
"297","Kasian anjingnya dipeluk sma sampahh","yes"
"298","Gua kira keluar dari PENJARA bisa berubah","no"
"299","Cintamu hanya sebatas kertas wkwkw enteng bang","no"
"300","Padahal sejak dia sama Jane aku lebih respect :( skrg bener2 udah hilang respect :(","no"
"301","udah nemenin dari masa tersulit lo pas udah keluar malah selingkuh, ga nyangka idola gua sesampah itu.","yes"
"302","Dihujat habisan semua postingan lama ada komen baru wkwk","no"
"303","Gua gabisa bedain mana anjing mana manusia, keliatannya sama","yes"
"304","Lu mirip anaknya kick andy yg namanya marlo bang","no"
"305","Kenapa ada orang baik ? Karna ada orang jahat","no"
"306","Ngga ada niatan ngadain pengajian gitu bang?","no"
"307","Suka banget sama rambutnyaa tambah ganteng","no"
"308","@abatartila Ada ada aja kaya gini di bilang king, king muke nya udh kaya tai musang","yes"
"309","Ninggalin berlian demi tai babi dih","yes"
"310","ganteng kaga lu begitu malah keliatan kaya daki kontol","yes"
"311","Mukak lo kayak tapir kuda asu sok ganteng banget lo","yes"
"312","Banyak yg kecewa karena lu begini rik!!!!","no"
"313","Maap ye…muke lu udh jelek kaga usah sok selingkuh,cakepan anjing gua noh","yes"
"314","Apa si hebatnya banci yg badannya penuh koreng kaya lo","yes"
"315","Gini dong bersihan kaga kek tahun tahun sebelumnya dekil","yes"
"316","Muka lu keriput kek aki aki","yes"
"317","Foto jelek dihujat, foto ganteng dibilang sok ganteng","no"
"318","kebanyakan nyabu jadi kurus lu","yes"
"319","NARKOBOYY NGELUARIN LIDAHH, AJG MAU APA, MAU TES URIN","yes"
"320","Fotolu pede anjrit muka lu tu anjrit","yes"
"321","Hidup itu jngn keterlaluan boss playboy amat ajg luu","yes"
"322","Mukalu kek aktor bokep bgst mending ngobat aja luu","yes"
"323","dah jelek semangattt pulak WKWK","yes"
"324","Muka nya kok gitu, seren bikin mual liatnya","yes"
"325","Sana anjing ngewe ama lonte bangsat","yes"
"326","Muka kek kontol mending di penjara","yes"
"327","muka kek banci dih najis","yes"
"328","Ntar Mati dalam keadaan konyol","yes"
"329","mau bilang jelek nya ga enak hehe …","yes"
"330","Idihhhhh pantesan aja foto nya keluarin lidah kyk gtu. Trnyata tukang jilat…","yes"
"331","NIH ORANG KALO LOMBA MIRIP BABI,BABINYA JUARA 2","yes"
"332","Titisan dakjal emg lo nyet","yes"
"333","Et muka lu aje gitu dih hahaha. Biarin aja sampah ketemu sampah biar busuk bersama","yes"
"334","Jijik astagah sok bat cakep njs","yes"
"335","Bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii! Ajgg","no"
"336","udah buriq brengsek pula pantes aja dapet lonte","yes"
"337","MUKA KAMPUNG GAYA SOK SOAN KOTA NYET","yes"
"338","Ngapa lidah Lo stroke amin deh kalau gtu","yes"
"339","Ciah dihujat 1 Indonesia jangan sampe bunuh diri ya komtoll kami blom puas nguat kauuu","yes"
"340","Org kampung otak dusun gaya sosoan hype. Ttep aja gabisa nutupin muka babu lu.","yes"
"341","Cowo foto liatin lidah nya jam ah jijik gue. Apa lagi minus akhlak kek gini","yes"
"342","ANJING gue jg ogah liat muke lu","yes"
"343","G bole melet dosaa rik","no"
"344","paan melet melet mau jilat tai tabi?","yes"
"345","Setan emg melet2 teross jijik asuuu","yes"
"346","ni anak lahir krna kondom bocor.. ga ada rasa syukur muka kyk selangkangan gorilla dpt cewe cntik kyk jessica setia dll malah di sia2in bgsad","yes"
"347","Apaan si melet2 sok ganteng","yes"
"348","Muka kek slangkangan biawak aje bnyk blagu lu","yes"
"349","Sumpah sih jahat banget. Bener2 kasian sama kak jessica","no"
"350","Anjing gk pantes sama bidadari.","yes"
"351","MELET MULU SETAN KAYA ULAR","yes"
"352","Njr melet melet gw kirain hewan","yes"
"353","Gtu aj dh kek anjg lo kang","yes"
"354","Gw kesini pengen liat babang ini.. Sumpah feeling gw bener.. Mirip banget ama Reynhard Sinaga","no"
"355","Ih ko melet2 si kaya hewan aja wkwkwkwk","yes"
"356","Iuu milih iblis drpd bidadarii kwkwkw jyjyq","yes"
"357","MELET2 UDAH KAYA ANJING, EH KAN EMAH ANJING","yes"
"358","ga nyadar aja nih sampah HAHA","yes"
"359","Lidah banyak kuman and virus nih","yes"
"360","Awalnya ngira baju endorse dari KFC, mirip '-'","no"
"361","GUA MAU LO TERUS BERKARYA , PERBAIKI, TINGGALKAN YG NEGATIF , TIDAK ADA KATA TERLAMBAT , TTP JADI ORANG YG HEBAT DAN SELALU BAHAGIA @xrickolim","no"
"362","Cita cita ingin jadi pakboi , eh tapi malah jadi narkoboy nasib-nasib","yes"
"363","Napa lu balik dari penjara sih?","yes"
"364","Mending lu pada tobat dah","no"
"365","selama dipenjara apalo sikat gigi? KOK BAU YA, BAUBAU AROMA BANGSATTTT","yes"
"366","Gigi lo ada apanya? Jigong? Atau kondom nya nyangkut?","yes"
"367","ih mukanya kek anjing rumah gwa","yes"
"368","woi anak anjing ngapain lu hidup bgst","yes"
"369","Udah jelek gak usah d jelek2 in lagi bro","yes"
"370","Ganteng kagak berbakat juga kagak kelebihannya dimana cobak?","yes"
"371","Benci aja Ama orang jelek pake selingkuh segala","yes"
"372","Udah tutup mulut nya bau kambing","yes"
"373","Jualan jualan knp ngga jadi yutuber lagi bro takut ngga ada yg nntn yah","yes"
